timestamp,message
1682983799000,2 186711982655 eni-01ad986c0519075d4 10.0.0.215 205.210.31.56 143 54905 6 1 40 1682983799 1682983828 ACCEPT OK
1682983834000,2 186711982655 eni-01ad986c0519075d4 10.0.0.215 35.203.210.66 9636 50342 6 1 40 1682983834 1682983859 ACCEPT OK
1682983834000,2 186711982655 eni-01ad986c0519075d4 10.0.0.215 205.210.31.81 2222 57043 6 1 40 1682983834 1682983859 ACCEPT OK
1682983834000,2 186711982655 eni-01ad986c0519075d4 89.248.165.184 10.0.0.215 41119 28579 6 2 80 1682983834 1682983859 ACCEPT OK
1682983834000,2 186711982655 eni-01ad986c0519075d4 186.225.36.86 10.0.0.215 55659 23 6 1 40 1682983834 1682983859 ACCEPT OK
1682983834000,2 186711982655 eni-01ad986c0519075d4 10.0.0.215 35.203.211.30 46139 54609 6 1 40 1682983834 1682983859 ACCEPT OK
1682983834000,2 186711982655 eni-01ad986c0519075d4 10.0.0.215 89.248.163.33 6197 44345 6 1 40 1682983834 1682983859 ACCEPT OK
1682983834000,2 186711982655 eni-01ad986c0519075d4 35.203.211.30 10.0.0.215 54609 46139 6 1 44 1682983834 1682983859 ACCEPT OK
1682983834000,2 186711982655 eni-01ad986c0519075d4 10.0.0.215 186.225.36.86 23 55659 6 1 40 1682983834 1682983859 ACCEPT OK
1682983834000,2 186711982655 eni-01ad986c0519075d4 35.203.210.66 10.0.0.215 50342 9636 6 1 44 1682983834 1682983859 ACCEPT OK
1682983834000,2 186711982655 eni-01ad986c0519075d4 44.213.45.216 10.0.0.215 0 0 1 1 28 1682983834 1682983859 ACCEPT OK
1682983834000,2 186711982655 eni-01ad986c0519075d4 205.210.31.81 10.0.0.215 57043 2222 6 1 44 1682983834 1682983859 ACCEPT OK
1682983834000,2 186711982655 eni-01ad986c0519075d4 10.0.0.215 89.248.165.184 28579 41119 6 1 40 1682983834 1682983859 ACCEPT OK
1682983834000,2 186711982655 eni-01ad986c0519075d4 89.248.163.33 10.0.0.215 44345 6197 6 2 80 1682983834 1682983859 ACCEPT OK
1682983865000,2 186711982655 eni-01ad986c0519075d4 89.248.163.74 10.0.0.215 43926 15221 6 2 80 1682983865 1682983884 ACCEPT OK
