timestamp,message
1682988894634,"[INFO]	2023-05-02T00:54:54.633Z	55d0d608-060b-4441-98da-70b544ce9836	{'_index': 's3-to-es', '_id': 'D__02YcBHSUlyCZlidSX', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 1537, '_primary_term': 1}
"
1682988894634,"{'objectKey': 'AWSLogs/186711982655/elasticloadbalancing/us-west-1/2023/05/01/186711982655_elasticloadbalancing_us-west-1_app.news-alb.ea1b6dd07aa7c07f_20230501T0200Z_52.52.13.136_18zpbbqg.log.gz', 'createdDate': '2023-05-02 00:54:51+00:00', 'content_type': '', 'content_length': '1433', 'content': 'http 2023-05-01T01:56:26.749122Z app/news-alb/ea1b6dd07aa7c07f 130.65.254.13:45600 10.0.1.73:32790 0.000 0.002 0.000 401 401 643 682 ""GET http://news-alb-698253920.us-west-1.elb.amazonaws.com:80/favicon.ico HTTP/1.1"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"" - - arn:aws:elasticloadbalancing:us-west-1:186711982655:targetgroup/news-a-Targe-OOCQCKSPDHXD/bb581df1243e19ea ""Root=1-644f1c4a-4e74dc4e2b3acc0c7f4dadc6"" ""-"" ""-"" 1 2023-05-01T01:56:26.747000Z ""forward"" ""-"" ""-"" ""10.0.1.73:32790"" ""401"" ""-"" ""-""', 'type': 'http', 'timestamp': '2023-05-01T01:56:26.749122Z', 'elb': 'app/news-alb/ea1b6dd07aa7c07f', 'client_ip': '130.65.254.13', 'client_port': '45600', 'target_ip': '10.0.1.73', 'target_port': '8080', 'request_processing_time': '0.000', 'target_processing_time': '0.002', 'response_processing_time': '0.000', 'elb_status_code': '401'}
"
1682988894810,"[INFO]	2023-05-02T00:54:54.810Z	55d0d608-060b-4441-98da-70b544ce9836	INFO: Successfully inserted element into ES
"
1682988894810,"[INFO]	2023-05-02T00:54:54.810Z	55d0d608-060b-4441-98da-70b544ce9836	{'_index': 's3-to-es', '_id': 'Hv_02YcBHSUlyCZlitRO', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 1587, '_primary_term': 1}
"
1682988894810,"{'objectKey': 'AWSLogs/186711982655/elasticloadbalancing/us-west-1/2023/05/01/186711982655_elasticloadbalancing_us-west-1_app.news-alb.ea1b6dd07aa7c07f_20230501T0200Z_52.52.13.136_18zpbbqg.log.gz', 'createdDate': '2023-05-02 00:54:51+00:00', 'content_type': '', 'content_length': '1433', 'content': 'http 2023-05-01T01:57:17.726664Z app/news-alb/ea1b6dd07aa7c07f 130.65.254.5:47927 10.0.0.103:32790 0.001 0.006 0.000 401 401 731 757 ""GET http://news-alb-698253920.us-west-1.elb.amazonaws.com:80/news HTTP/1.1"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"" - - arn:aws:elasticloadbalancing:us-west-1:186711982655:targetgroup/news-a-Targe-OOCQCKSPDHXD/bb581df1243e19ea ""Root=1-644f1c7d-60513e407a3d5b6103365805"" ""-"" ""-"" 1 2023-05-01T01:57:17.720000Z ""forward"" ""-"" ""-"" ""10.0.0.103:32790"" ""401"" ""-"" ""-""', 'type': 'http', 'timestamp': '2023-05-01T01:57:17.726664Z', 'elb': 'app/news-alb/ea1b6dd07aa7c07f', 'client_ip': '130.65.254.5', 'client_port': '47927', 'target_ip': '10.0.1.73', 'target_port': '8080', 'request_processing_time': '0.001', 'target_processing_time': '0.006', 'response_processing_time': '0.000', 'elb_status_code': '401'}
"
1682988894980,"[INFO]	2023-05-02T00:54:54.980Z	55d0d608-060b-4441-98da-70b544ce9836	INFO: Successfully inserted element into ES
"
1682988894989,"[INFO]	2023-05-02T00:54:54.988Z	55d0d608-060b-4441-98da-70b544ce9836	{'_index': 's3-to-es', '_id': 'J__02YcBHSUlyCZlitT9', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 1655, '_primary_term': 1}
"
1682988895009,"{'objectKey': 'AWSLogs/186711982655/elasticloadbalancing/us-west-1/2023/05/01/186711982655_elasticloadbalancing_us-west-1_app.news-alb.ea1b6dd07aa7c07f_20230501T0200Z_52.52.13.136_18zpbbqg.log.gz', 'createdDate': '2023-05-02 00:54:51+00:00', 'content_type': '', 'content_length': '1433', 'content': 'http 2023-05-01T01:57:20.197024Z app/news-alb/ea1b6dd07aa7c07f 130.65.254.5:47927 10.0.0.103:32790 0.000 0.004 0.000 401 401 757 682 ""GET http://news-alb-698253920.us-west-1.elb.amazonaws.com:80/news HTTP/1.1"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"" - - arn:aws:elasticloadbalancing:us-west-1:186711982655:targetgroup/news-a-Targe-OOCQCKSPDHXD/bb581df1243e19ea ""Root=1-644f1c80-4e7eeeb534c4590a59a5f7db"" ""-"" ""-"" 1 2023-05-01T01:57:20.192000Z ""forward"" ""-"" ""-"" ""10.0.0.103:32790"" ""401"" ""-"" ""-""', 'type': 'http', 'timestamp': '2023-05-01T01:57:20.197024Z', 'elb': 'app/news-alb/ea1b6dd07aa7c07f', 'client_ip': '130.65.254.5', 'client_port': '47927', 'target_ip': '10.0.1.73', 'target_port': '8080', 'request_processing_time': '0.000', 'target_processing_time': '0.004', 'response_processing_time': '0.000', 'elb_status_code': '401'}
"
1682988895150,"[INFO]	2023-05-02T00:54:55.150Z	55d0d608-060b-4441-98da-70b544ce9836	INFO: Successfully inserted element into ES
"
1682988895151,"[INFO]	2023-05-02T00:54:55.150Z	55d0d608-060b-4441-98da-70b544ce9836	{'_index': 's3-to-es', '_id': 'LP_02YcBHSUlyCZli9Si', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 1652, '_primary_term': 1}
"
